"","ï..544988"
"1576",7558
"1577",7743
"1578",6275
"1579",6340
"1580",6907
"1581",6728
"1582",6858
"1583",7067
"1584",6361
"1585",6275
"1586",6297
"1587",6248
"1588",6212
"1589",7130
"1590",2253
"1591",6333
"1592",7950
"1593",8533
"1594",7133
"1595",6135
"1596",4328
"1597",3171
"1598",7430
"1599",6124
"1600",6133
"1601",6068
"1602",6213
"1603",6150
"1604",6426
"1605",6657
"1606",6235
"1607",6171
"1608",6152
"1609",6254
"1610",6171
"1611",7368
"1612",4273
"1613",23461
"1614",516144
"1615",13539
"1616",15034
"1617",14362
"1618",74034
"1619",20429
"1620",10678
"1621",20674
"1622",73530
"1623",4089
"1624",19953
"1625",7024
"1626",7272
"1627",7157
"1628",6150
"1629",6258
"1630",6138
"1631",6255
"1632",6275
"1633",13874
"1634",6248
"1635",6256
"1636",6245
"1637",6466
"1638",6268
"1639",6160
"1640",6231
"1641",6164
"1642",6237
"1643",6214
"1644",7097
"1645",7365
"1646",6254
"1647",6294
"1648",6198
"1649",6072
"1650",6237
"1651",7139
"1652",6872
"1653",6427
"1654",6308
"1655",6637
"1656",6354
"1657",6335
"1658",7717
"1659",7527
"1660",6196
"1661",6193
"1662",6342
"1663",6229
"1664",6420
"1665",6896
"1666",6788
"1667",6141
"1668",6133
"1669",6087
"1670",6131
"1671",6191
"1672",15714
"1673",6340
"1674",6549
"1675",6315
"1676",6338
"1677",6117
"1678",6773
"1679",6997
"1680",6372
"1681",6257
"1682",6020
"1683",6090
"1684",6068
"1685",15679
"1686",21502
"1687",4959
"1688",6304
"1689",6050
"1690",6007
"1691",5285
"1692",5141
"1693",14501
"1694",6172
"1695",6117
"1696",6395
"1697",5192
"1698",5044
"1699",4971
"1700",6956
"1701",10208
"1702",538501
"1703",15006
"1704",83803
"1705",19154
"1706",340844
"1707",11811
"1708",1118348
"1709",77023
"1710",40709
"1711",518654
"1712",5374
"1713",97001
"1714",105655
"1715",518330
"1716",17728
"1717",13027
"1718",62216
"1719",17399
"1720",36916
"1721",15905
"1722",40622
"1723",41137
"1724",39979
"1725",3029
"1726",33080
"1727",400803
"1728",1708
"1729",51766
"1730",5563
"1731",445401
"1732",2320
"1733",53848
"1734",1782615
"1735",49437
"1736",88478
"1737",9799
"1738",15168
"1739",19902
"1740",31380
"1741",91693
"1742",23698
"1743",28354
"1744",335562
"1745",4423
"1746",4244
"1747",8990
"1748",381033
"1749",24727
"1750",14515
"1751",96249
"1752",6728
"1753",921672
"1754",2297227
"1755",10877
"1756",2169471
"1757",12086
"1758",12157
"1759",66049
"1760",563836
"1761",20189
"1762",35333
"1763",3170467
"1764",645433
"1765",25607
"1766",39972
"1767",13745
"1768",16954
